NM_000014	A2M
NM_000015	NAT2
NM_000016	ACADM
NM_000017	ACADS
NM_000018	ACADVL
NM_000019	ACAT1
NM_000020	ACVRL1
NM_000021	PSEN1
NM_000022	ADA
NM_000023	SGCA
NM_000024	ADRB2
NM_000025	ADRB3
NM_000026	ADSL
NM_000027	AGA
NM_000028	AGL
NM_000029	AGT
NM_000030	AGXT
NM_000031	ALAD
NM_000032	ALAS2
NM_000033	ABCD1
NM_000034	ALDOA
NM_000035	ALDOB
NM_000036	AMPD1
NM_000037	ANK1
NM_000038	APC
NM_000039	APOA1
NM_000040	APOC3
NM_000041	APOE
NM_000042	APOH
NM_000043	FAS
NM_000044	AR
NM_000045	ARG1
NM_000046	ARSB
NM_000047	ARSE
NM_000048	ASL
NM_000049	ASPA
NM_000050	ASS1
NM_000051	ATM
NM_000052	ATP7A
NM_000053	ATP7B
NM_000054	AVPR2
NM_000055	BCHE
NM_000056	BCKDHB
NM_000057	BLM
NM_000059	BRCA2
NM_000060	BTD
NM_000061	BTK
NM_000062	SERPING1
NM_000063	C2
NM_000064	C3
NM_000065	C6
NM_000066	C8B
NM_000067	CA2
NM_000068	CACNA1A
NM_000069	CACNA1S
NM_000070	CAPN3
NM_000071	CBS
NM_000072	CD36
NM_000073	CD3G
NM_000074	CD40LG
NM_000075	CDK4
NM_000076	CDKN1C
NM_000077	CDKN2A
NM_000078	CETP
NM_000079	CHRNA1
NM_000080	CHRNE
NM_000081	LYST
NM_000082	ERCC8
NM_000083	CLCN1
NM_000084	CLCN5
NM_000085	CLCNKB
NM_000086	CLN3
NM_000087	CNGA1
NM_000088	COL1A1
NM_000089	COL1A2
NM_000090	COL3A1
NM_000091	COL4A3
NM_000092	COL4A4
NM_000093	COL5A1
NM_000094	COL7A1
NM_000095	COMP
NM_000096	CP
NM_000097	CPOX
NM_000098	CPT2
NM_000099	CST3
NM_000100	CSTB
NM_000101	CYBA
NM_000102	CYP17A1
NM_000103	CYP19A1
NM_000104	CYP1B1
NM_000106	CYP2D6
NM_000107	DDB2
NM_000108	DLD
NM_000109	DMD
NM_000110	DPYD
NM_000111	SLC26A3
NM_000112	SLC26A2
NM_000113	TOR1A
NM_000115	EDNRB
NM_000116	TAZ
NM_000117	EMD
NM_000118	ENG
NM_000119	EPB42
NM_000120	EPHX1
NM_000121	EPOR
NM_000122	ERCC3
NM_000123	ERCC5
NM_000124	ERCC6
NM_000125	ESR1
NM_000126	ETFA
NM_000127	EXT1
NM_000128	F11
NM_000129	F13A1
NM_000130	F5
NM_000131	F7
NM_000132	F8
